"year","code","product","country","type","value"
"2001-01","TOTAL","All products","загалом","2",16264734
"2001-01","TOTAL","All products","Азія","2",4109147
"2001-01","TOTAL","All products","Африка","2",838087
"2001-01","TOTAL","All products","ЄС","2",2909602
"2001-01","TOTAL","All products","Росія","2",3640826
"2001-01","TOTAL","All products","США","2",561161
"2002-01","TOTAL","All products","загалом","2",17927432
"2002-01","TOTAL","All products","Азія","2",5131991
"2002-01","TOTAL","All products","Африка","2",1025798
"2002-01","TOTAL","All products","ЄС","2",3486282
"2002-01","TOTAL","All products","Росія","2",3148747
"2002-01","TOTAL","All products","США","2",505047
"2003-01","TOTAL","All products","загалом","2",23066846
"2003-01","TOTAL","All products","Азія","2",5796871
"2003-01","TOTAL","All products","Африка","2",1250292
"2003-01","TOTAL","All products","ЄС","2",4576135
"2003-01","TOTAL","All products","Росія","2",4311376
"2003-01","TOTAL","All products","США","2",718549
"2004-01","TOTAL","All products","загалом","2",32666132
"2004-01","TOTAL","All products","Азія","2",8843036
"2004-01","TOTAL","All products","Африка","2",1710266
"2004-01","TOTAL","All products","ЄС","2",9715303
"2004-01","TOTAL","All products","Росія","2",5824831
"2004-01","TOTAL","All products","США","2",1501695
"2005-01","TOTAL","All products","загалом","2",34227974
"2005-01","TOTAL","All products","Азія","2",9691626
"2005-01","TOTAL","All products","Африка","2",2393868
"2005-01","TOTAL","All products","ЄС","2",9206314
"2005-01","TOTAL","All products","Росія","2",7489792
"2005-01","TOTAL","All products","США","2",956481
"2006-01","TOTAL","All products","загалом","2",38367609
"2006-01","TOTAL","All products","Азія","2",9897844
"2006-01","TOTAL","All products","Африка","2",2373940
"2006-01","TOTAL","All products","ЄС","2",10871448
"2006-01","TOTAL","All products","Росія","2",8650700
"2006-01","TOTAL","All products","США","2",1201793
"2007-01","TOTAL","All products","загалом","2",49294390
"2007-01","TOTAL","All products","Азія","2",13517976
"2007-01","TOTAL","All products","Африка","2",2792048
"2007-01","TOTAL","All products","ЄС","2",13916379
"2007-01","TOTAL","All products","Росія","2",12668478
"2007-01","TOTAL","All products","США","2",1058050
"2008-01","TOTAL","All products","загалом","2",66952306
"2008-01","TOTAL","All products","Азія","2",19493891
"2008-01","TOTAL","All products","Африка","2",3902411
"2008-01","TOTAL","All products","ЄС","2",18130126
"2008-01","TOTAL","All products","Росія","2",15735242
"2008-01","TOTAL","All products","США","2",1949184
"2009-01","TOTAL","All products","загалом","2",39695648
"2009-01","TOTAL","All products","Азія","2",14881683
"2009-01","TOTAL","All products","Африка","2",2627814
"2009-01","TOTAL","All products","ЄС","2",9505188
"2009-01","TOTAL","All products","Росія","2",8494861
"2009-01","TOTAL","All products","США","2",250433
"2010-01","TOTAL","All products","загалом","2",51430286
"2010-01","TOTAL","All products","Азія","2",16140104
"2010-01","TOTAL","All products","Африка","2",3018647
"2010-01","TOTAL","All products","ЄС","2",13062567
"2010-01","TOTAL","All products","Росія","2",13431880
"2010-01","TOTAL","All products","США","2",812361
"2011-01","TOTAL","All products","загалом","2",68393034
"2011-01","TOTAL","All products","Азія","2",20964174
"2011-01","TOTAL","All products","Африка","2",3344218
"2011-01","TOTAL","All products","ЄС","2",17970947
"2011-01","TOTAL","All products","Росія","2",19819713
"2011-01","TOTAL","All products","США","2",1114030
"2012-01","TOTAL","All products","загалом","2",68694495
"2012-01","TOTAL","All products","Азія","2",21997036
"2012-01","TOTAL","All products","Африка","2",5523312
"2012-01","TOTAL","All products","ЄС","2",17083073
"2012-01","TOTAL","All products","Росія","2",17631749
"2012-01","TOTAL","All products","США","2",1014788
"2013-01","TOTAL","All products","загалом","2",63320469
"2013-01","TOTAL","All products","Азія","2",20616697
"2013-01","TOTAL","All products","Африка","2",5091663
"2013-01","TOTAL","All products","ЄС","2",16764059
"2013-01","TOTAL","All products","Росія","2",15077259
"2013-01","TOTAL","All products","США","2",889821
"2014-01","TOTAL","All products","загалом","2",53913302
"2014-01","TOTAL","All products","Азія","2",17688110
"2014-01","TOTAL","All products","Африка","2",5096725
"2014-01","TOTAL","All products","ЄС","2",17009278
"2014-01","TOTAL","All products","Росія","2",9799144
"2014-01","TOTAL","All products","США","2",667986
"2015-01","TOTAL","All products","загалом","2",38127040
"2015-01","TOTAL","All products","Азія","2",13843879
"2015-01","TOTAL","All products","Африка","2",3802990
"2015-01","TOTAL","All products","ЄС","2",13019306
"2015-01","TOTAL","All products","Росія","2",4827718
"2015-01","TOTAL","All products","США","2",481975
"2016-01","TOTAL","All products","загалом","2",36361032
"2016-01","TOTAL","All products","Азія","2",12693732
"2016-01","TOTAL","All products","Африка","2",3860864
"2016-01","TOTAL","All products","ЄС","2",13504037
"2016-01","TOTAL","All products","Росія","2",3592866
"2016-01","TOTAL","All products","США","2",427499
