"year","code","product","country","Exported","Imported"
2001,"02","Meat and edible meat offal","Росія",159172,NA
2001,"04","Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...","Росія",158637,NA
2001,"10","Cereals","all",483727,NA
2001,"10","Cereals","ЄС",118278,NA
2001,"12","Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...","ЄС",94707,NA
2001,"15","Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...","all",225475,NA
2001,"15","Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...","ЄС",31499,NA
2001,"26","Ores, slag and ash","all",427353,NA
2001,"26","Ores, slag and ash","ЄС",77747,NA
2001,"26","Ores, slag and ash","Росія",NA,117047
2001,"27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...","all",1186400,6253474
2001,"27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...","ЄС",348262,160231
2001,"27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...","Росія",34228,3399490
2001,"28","Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...","all",549635,NA
2001,"28","Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...","Росія",213346,NA
2001,"29","Organic chemicals","Росія",NA,44164
2001,"30","Pharmaceutical products","all",NA,341816
2001,"30","Pharmaceutical products","ЄС",NA,253251
2001,"31","Fertilisers","Росія",NA,18070
2001,"39","Plastics and articles thereof","all",NA,463442
2001,"39","Plastics and articles thereof","ЄС",NA,294463
2001,"39","Plastics and articles thereof","Росія",NA,67488
2001,"40","Rubber and articles thereof","Росія",NA,134430
2001,"44","Wood and articles of wood; wood charcoal","ЄС",88107,NA
2001,"48","Paper and paperboard; articles of paper pulp, of paper or of paperboard","all",NA,448268
2001,"48","Paper and paperboard; articles of paper pulp, of paper or of paperboard","ЄС",NA,262700
2001,"48","Paper and paperboard; articles of paper pulp, of paper or of paperboard","Росія",171700,153447
2001,"62","Articles of apparel and clothing accessories, not knitted or crocheted","ЄС",321187,NA
2001,"72","Iron and steel","all",4976844,NA
2001,"72","Iron and steel","ЄС",469814,NA
2001,"72","Iron and steel","Росія",496890,136697
2001,"73","Articles of iron or steel","all",648767,NA
2001,"73","Articles of iron or steel","Росія",364199,NA
2001,"82","Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal","all",380683,NA
2001,"84","Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof","all",1248584,1660064
2001,"84","Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof","ЄС",225217,788299
2001,"84","Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof","Росія",555141,601151
2001,"85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...","all",465658,716980
2001,"85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...","ЄС",88239,434008
2001,"85","Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ...","Росія",190304,98076
2001,"86","Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...","all",150077,NA
2001,"86","Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...","Росія",78916,NA
2001,"87","Vehicles other than railway or tramway rolling stock, and parts and accessories thereof","all",NA,637049
2001,"87","Vehicles other than railway or tramway rolling stock, and parts and accessories thereof","ЄС",NA,295755
2001,"87","Vehicles other than railway or tramway rolling stock, and parts and accessories thereof","Росія",123591,208426
2001,"TOTAL","All products","all",16264734,15775093
2001,"TOTAL","All products","ЄС",2909602,4673497
2001,"TOTAL","All products","Росія",3640826,5778991
2002,"02","Meat and edible meat offal","Росія",209178,NA
2002,"04","Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...","Росія",82507,NA
2002,"10","Cereals","all",997706,NA
2002,"10","Cereals","ЄС",384036,NA
2002,"12","Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...","ЄС",15711,NA
2002,"15","Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...","all",342195,NA
2002,"15","Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...","ЄС",92010,NA
2002,"26","Ores, slag and ash","all",440495,NA
2002,"26","Ores, slag and ash","ЄС",91539,NA
2002,"26","Ores, slag and ash","Росія",NA,82191
2002,"27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...","all",1645680,6653035
2002,"27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...","ЄС",652614,135347
2002,"27","Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ...","Росія",24158,4057887
2002,"28","Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...","all",444946,NA
2002,"28","Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...","Росія",166277,NA
2002,"29","Organic chemicals","Росія",NA,43238
2002,"30","Pharmaceutical products","all",NA,427603
2002,"30","Pharmaceutical products","ЄС",NA,321694
2002,"31","Fertilisers","Росія",NA,39117
2002,"39","Plastics and articles thereof","all",NA,552595
2002,"39","Plastics and articles thereof","ЄС",NA,348925
2002,"39","Plastics and articles thereof","Росія",NA,66080
2002,"40","Rubber and articles thereof","Росія",NA,104080
2002,"44","Wood and articles of wood; wood charcoal","ЄС",112845,NA
2002,"48","Paper and paperboard; articles of paper pulp, of paper or of paperboard","all",NA,590393
2002,"48","Paper and paperboard; articles of paper pulp, of paper or of paperboard","ЄС",NA,398278
2002,"48","Paper and paperboard; articles of paper pulp, of paper or of paperboard","Росія",177653,137030
2002,"62","Articles of apparel and clothing accessories, not knitted or crocheted","ЄС",336149,NA
2002,"72","Iron and steel","all",5338261,NA
2002,"72","Iron and steel","ЄС",532509,NA
2002,"72","Iron and steel","Росія",307497,178326
2002,"73","Articles of iron or steel","all",560106,NA
2002,"73","Articles of iron or steel","Росія",214707,NA
2002,"82","Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal","all",601232,NA
2002,"84","Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof","all",1281610,1816269
2002,"84","Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof","ЄС",195304,1035472
2002,"84","Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof","Росія",585192,458019
